id	rate
1001	0.2171791667
1005	0.7246375
1007	0.02886
1009	0
1011	0.15625
1013	0
1015	0.1294322222
1017	0.0379961538
1019	0
1021	0.0439490909
1023	0
1025	0.10917
1027	0.1388775
1029	0
1031	0
1033	0.0305513636
1035	0
1037	0
1039	0
1041	0.2503133333
1043	0
1045	0.0805585714
1047	0
1049	0.01364625
1051	0.093
1053	0.0269217647
1055	0.0251726471
1057	0.8558383333
1059	0.0579233333
1061	0
1063	0
1065	0
1067	0
1069	0.1998780769
1071	0.0110213043
1073	0.2130379618
1075	0.0360225
1077	0.0530872222
1079	0.0729926667
1081	0.0643109091
1083	0.0057405
1085	0.21645
1087	0
1089	0.0529892308
1091	0
1093	0.2204214286
1095	0.0330312121
1097	0
1099	0
1101	0.0139651852
1103	0.13566975
1105	0
1107	0
1109	0
1111	0.0137855556
1113	0.090948
1115	0.0578596154
1117	0.0917678261
1119	0.084175
1121	0.1100290625
1123	0.945296
1125	0.0611758621
1127	0.0365509524
1129	0
1131	0
1133	0
2013	0
2016	0
2020	0
2050	0.0135135
2060	0
2068	0
2070	0
2090	0
2100	0
2105	0
2110	0
2122	0
2130	0
2150	0.0145478571
2164	0
2170	0
2180	0.083798
2185	0.0359327273
2188	0.0394476923
2195	0
2198	0.0408494444
2220	1.3910785714
2230	0
2240	0
2261	0
2270	0
2275	0
2282	0
2290	0.2525254545
4001	0.1203754545
4003	0.1860966129
4005	0.078776875
4007	0.0651013333
4009	0.0225680952
4011	0
4012	0.3299263636
4013	0.0653859252
4015	0.0551453704
4017	0.0498
4019	0.0422800358
4021	0.0508270476
4023	0
4025	0.0949235065
4027	0.0017715625
5001	0.09090875
5003	0.05123
5005	0
5007	0.0088867742
5009	0.0185183333
5011	0
5013	0.588235
5015	0.583357
5017	0
5019	0.0745711111
5021	0
5023	0
5025	0.385426
5027	0
5029	0.035971
5031	0.1034135294
5033	0.12277
5035	0.0490311765
5037	0.102904
5039	0
5041	2.3396933333
5043	0
5045	0.169538
5047	0
5049	0.0777
5051	0.2361736
5053	0
5055	0.2105853333
5057	0.98940375
5059	0
5061	0.1341
5063	0.052964
5065	0
5067	3.06317
5069	1.2989430435
5071	0.0787933333
5073	0
5075	0.0210441667
5077	0.0795533333
5079	0
5081	0.04329
5083	0
5085	0.1008826087
5087	0.0208675
5089	0.29305125
5091	0.3552913333
5093	0
5095	0.3822625
5097	0
5099	0
5101	0
5103	0.2196744444
5105	0
5107	0
5109	0.43839
5111	0.2217057143
5113	0.42517
5115	-0.6036781818
5117	0.25685
5119	0.1987647368
5121	0
5123	0.4730975
5125	0.0534937037
5127	0
5129	0
5131	0.2183507895
5133	0.0628625
5135	0
5137	0
5139	1.06196
5141	0
5143	0.0212011667
5145	0.0127975
5147	0
5149	0
6001	-0.5507996667
6003	1.85185
6005	0
6007	0.4058307447
6009	0.068245
6011	0
6013	0.0129605263
6015	0
6017	0.0055014754
6019	0.031672439
6021	0
6023	0.7727430682
6025	0.0893822727
